,PA56,PhA,MEL,THAM,CS,BN,ZnBO,CABO,HNT
53,0.802,0.001,0.046,0.0,0.034,0.0,0.117,0.0,0.0
54,0.848,0.028,0.046,0.0,0.0,0.0,0.0,0.078,0.0
55,0.841,0.047,0.0,0.0,0.094,0.0,0.0,0.018000000000000002,0.0
56,0.803,0.042,0.0,0.0,0.0,0.066,0.0,0.089,0.0
57,0.88,0.018,0.0,0.003999999999999888,0.003,0.0,0.095,0.0,0.0
58,0.859,0.029,0.0,0.086,0.0,0.0,0.0,0.026,0.0
59,0.912,0.044,0.012,0.0,0.021,0.0,0.010999999999999888,0.0,0.0
60,0.836,0.03899999999999989,0.0,0.017,0.0,0.0,0.0,0.0,0.108
61,0.841,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.099
62,0.804,0.019,0.066,0.03099999999999989,0.0,0.0,0.08,0.0,0.0
63,0.818,0.03699999999999989,0.0,0.031,0.0,0.0,0.0,0.0,0.114
64,0.952,0.00800000000000011,0.0,0.001,0.001,0.0,0.038,0.0,0.0
65,0.841,0.041,0.0,0.0,0.0,0.091,0.0,0.0,0.027
66,0.921,0.0,0.0,0.0,0.002,0.0,0.0,0.077,0.0
67,0.801,0.022,0.0,0.0,0.0,0.068,0.0,0.109,0.0
68,0.803,0.043,0.022,0.024,0.0,0.0,0.0,0.108,0.0
69,0.814,0.017,0.03,0.0,0.015,0.0,0.0,0.124,0.0
70,0.955,0.004,0.0,0.0,0.002,0.0,0.039,0.0,0.0
71,0.969,0.0,0.021,0.0,0.009,0.0,0.0,0.0,0.001
72,0.821,0.037,0.094,0.0,0.0,0.0,0.048,0.0,0.0
73,0.801,0.041,0.0,0.0,0.085,0.0,0.0,0.073,0.0
74,0.936,0.037,0.0,0.0,0.0,0.015,0.012,0.0,0.0
75,0.841,0.026,0.0,0.043,0.0,0.0,0.09,0.0,0.0
76,0.827,0.003,0.0,0.043,0.0,0.0,0.0,0.0,0.127
77,0.927,0.039,0.0,0.0,0.003,0.0,0.0,0.03099999999999989,0.0
78,0.815,0.047,0.0,0.083,0.0,0.0,0.0,0.055,0.0
79,0.856,0.036,0.028,0.066,0.0,0.0,0.014,0.0,0.0
80,0.857,0.01,0.003,0.0,0.003,0.0,0.0,0.127,0.0
81,0.835,0.023,0.094,0.0,0.0,0.0,0.0,0.0,0.048
82,0.85,0.012,0.023,0.0,0.003,0.0,0.0,0.112,0.0
83,0.83,0.021,0.037,0.0,0.0,0.0,0.0,0.0,0.112
84,0.817,0.01800000000000011,0.0,0.0,0.038,0.0,0.0,0.127,0.0
85,0.819,0.025,0.023,0.022,0.0,0.0,0.111,0.0,0.0
86,0.921,0.044,0.003,0.003,0.0,0.0,0.0,0.028999999999999887,0.0
87,0.851,0.014,0.002,0.0,0.0,0.0,0.0,0.133,0.0
88,0.836,0.004,0.0,0.0,0.032,0.0,0.0,0.128,0.0
89,0.955,0.039,0.0,0.0,0.0,0.0,0.0,0.006,0.0
